feature_code,date_code,value_per_one_hundred_thousand_people,alcohol_condition,type_of_hospital
NHS Western Isles,2013/2014,612,Mental and Behavioural Disorders,General Acute Hospital
NHS Shetland,2014/2015,44.3,Alcoholic Liver Disease,General Acute Hospital
NHS Shetland,2011/2012,753.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Western Isles,2014/2015,403.2,Mental and Behavioural Disorders,General Acute Hospital
NHS Ayrshire and Arran,2017/2018,90.1,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Western Isles,2014/2015,13.7,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Borders,2015/2016,27,All other Alcoholic Conditions,Psychiatric Hospital
NHS Ayrshire and Arran,2012/2013,90.8,All other Alcoholic Conditions,Psychiatric Hospital
NHS Shetland,2011/2012,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Ayrshire and Arran,2015/2016,91.9,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Ayrshire and Arran,2015/2016,727.3,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2018/2019,78.3,Alcoholic Liver Disease,General Acute Hospital
NHS Shetland,2016/2017,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Shetland,2010/2011,60.4,Alcoholic Liver Disease,General Acute Hospital
NHS Shetland,2012/2013,615.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Ayrshire and Arran,2014/2015,83.5,All other Alcoholic Conditions,Psychiatric Hospital
NHS Shetland,2017/2018,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Shetland,2014/2015,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Ayrshire and Arran,2013/2014,125.3,Alcoholic Liver Disease,General Acute Hospital
NHS Shetland,2010/2011,721.7,All other Alcoholic Conditions,General Acute Hospital
NHS Shetland,2010/2011,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Western Isles,2011/2012,18,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Ayrshire and Arran,2016/2017,150.7,Alcoholic Liver Disease,General Acute Hospital
NHS Ayrshire and Arran,2011/2012,132.9,Alcoholic Liver Disease,General Acute Hospital
NHS Ayrshire and Arran,2013/2014,837.4,All other Alcoholic Conditions,General Acute Hospital
NHS Shetland,2016/2017,555.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Ayrshire and Arran,2014/2015,783.3,All other Alcoholic Conditions,General Acute Hospital
NHS Western Isles,2011/2012,18,All other Alcoholic Conditions,Psychiatric Hospital
NHS Ayrshire and Arran,2018/2019,149.4,Alcoholic Liver Disease,General Acute Hospital
NHS Shetland,2011/2012,107.8,Alcoholic Liver Disease,General Acute Hospital
NHS Ayrshire and Arran,2010/2011,117.9,Alcoholic Liver Disease,General Acute Hospital
NHS Shetland,2011/2012,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Ayrshire and Arran,2018/2019,747.5,All other Alcoholic Conditions,General Acute Hospital
NHS Ayrshire and Arran,2012/2013,121.9,Alcoholic Liver Disease,General Acute Hospital
NHS Shetland,2013/2014,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Ayrshire and Arran,2010/2011,1011.4,All other Alcoholic Conditions,General Acute Hospital
NHS Ayrshire and Arran,2015/2016,91.9,All other Alcoholic Conditions,Psychiatric Hospital
NHS Ayrshire and Arran,2017/2018,761.1,All other Alcoholic Conditions,General Acute Hospital
NHS Lanarkshire,2013/2014,579.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Borders,2016/2017,74.6,Alcoholic Liver Disease,General Acute Hospital
NHS Lanarkshire,2012/2013,539.9,Mental and Behavioural Disorders,General Acute Hospital
NHS Shetland,2016/2017,32,Alcoholic Liver Disease,General Acute Hospital
NHS Lanarkshire,2018/2019,848.9,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2013/2014,44.8,All other Alcoholic Conditions,Psychiatric Hospital
NHS Shetland,2013/2014,68.4,Alcoholic Liver Disease,General Acute Hospital
NHS Borders,2011/2012,56.1,All other Alcoholic Conditions,Psychiatric Hospital
NHS Shetland,2012/2013,716.2,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2012/2013,60.2,All other Alcoholic Conditions,Psychiatric Hospital
NHS Western Isles,2016/2017,13.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Western Isles,2017/2018,705.1,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2014/2015,335.9,Mental and Behavioural Disorders,General Acute Hospital
NHS Western Isles,2014/2015,13.7,All other Alcoholic Conditions,Psychiatric Hospital
NHS Borders,2013/2014,448.8,Mental and Behavioural Disorders,General Acute Hospital
NHS Borders,2016/2017,320.2,Mental and Behavioural Disorders,General Acute Hospital
NHS Borders,2012/2013,440.5,Mental and Behavioural Disorders,General Acute Hospital
NHS Lanarkshire,2016/2017,784.7,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2012/2013,60.2,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Shetland,2018/2019,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lanarkshire,2010/2011,466.7,Mental and Behavioural Disorders,General Acute Hospital
NHS Lanarkshire,2015/2016,604.9,Mental and Behavioural Disorders,General Acute Hospital
NHS Shetland,2012/2013,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Borders,2016/2017,450.3,All other Alcoholic Conditions,General Acute Hospital
NHS Lanarkshire,2010/2011,58.5,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lanarkshire,2018/2019,160.9,Alcoholic Liver Disease,General Acute Hospital
NHS Lanarkshire,2011/2012,63.8,All other Alcoholic Conditions,Psychiatric Hospital
NHS Borders,2011/2012,624.5,All other Alcoholic Conditions,General Acute Hospital
NHS Lanarkshire,2014/2015,149.7,Alcoholic Liver Disease,General Acute Hospital
